date,delta,gamma,vega,theta
2022-12-01,-7585829.730245211,-229342.19688093322,-13230.81831077763,8360.878752255483
2022-12-02,-7564538.066569104,-223329.98823247568,-13164.203537466488,8096.154601459465
2022-12-05,-7474195.720626995,-219160.97864340668,-13570.59323126135,10076.238823284551
2022-12-06,-7413569.660263415,-218996.88661699017,-13417.66297623017,9696.518269261142
2022-12-07,-7474221.749332042,-217250.66892159602,-13330.922438443487,9598.678691765515
2022-12-08,-7470213.655462745,-213407.7266649825,-13443.313749204835,9886.740873449908
2022-12-09,-7519737.38789885,-214778.9362629607,-13273.082665584378,9514.49801550115
2022-12-12,-7256855.280156515,-214090.54499089264,-13890.994108764306,9921.197785834467
2022-12-13,-7205747.684525849,-215794.474335599,-13951.59438934689,8593.877117073833
2022-12-14,-7214058.231935869,-217456.97487087722,-13772.086406094188,8450.770981020716
2022-12-15,-7142496.750059355,-212122.17412726305,-13488.822576497823,8414.22581945722
2022-12-16,-7162753.947891861,-205696.28138291242,-13645.789818442692,8344.04322256551
2022-12-19,-7120970.658580883,-200403.32994001562,-13286.710308816198,7649.5292280219
2022-12-20,-7019356.6437619245,-206521.01823927442,-13362.40379283639,7786.209337514
2022-12-21,-7460456.809895374,-208449.91268536253,-14393.554192156967,9179.795920725313
2022-12-22,-7373182.310989874,-208147.89743938012,-14284.92991027061,9288.13757400291
2022-12-23,-7476070.714297238,-207744.98077937646,-14080.26801124039,8936.267606348252
2022-12-26,-7460068.046414478,-206423.01114198842,-13968.456722478017,8819.394502506395
2022-12-27,-7458375.448937887,-207037.39416580726,-13698.333390486108,8619.410657306897
2022-12-28,-7779354.9260719335,-212378.67928006846,-14788.933489482117,9795.226267917073
2022-12-29,-7819365.152470946,-213970.18394831056,-14602.761231684579,9656.922450620377
2022-12-30,-7840306.5639758175,-216421.54862206648,-14570.81116226118,9659.493102485509
2023-01-02,-7833965.142383206,-214983.258711348,-14236.527401393,9537.241547881225
2023-01-03,-7867573.537408212,-212618.10776982052,-13969.68350955163,9256.552281131699
2023-01-04,-8114896.474794643,-224628.15844805987,-15194.66096112067,10586.806162557608
2023-01-05,-8027202.959904725,-221759.5707928987,-15197.580821777705,10669.238392389876
2023-01-06,-8207493.104784026,-224541.34556396116,-14910.028500367742,10443.517384084857
2023-01-09,-8271633.429554462,-226511.84685803915,-14558.474778798776,10521.54223856595
