date,pair,open_trades
2023-02-07,EURNOK,11
2023-02-07,AUDJPY,5
2023-02-07,CHFJPY,7
2023-02-07,NZDUSD,4
2023-02-07,XAGUSD,8
2023-02-07,GBPAUD,1
2023-02-08,EURJPY,21
2023-02-08,EURUSD,17
2023-02-08,GBPCHF,28
2023-02-08,EURAUD,18
2023-02-08,GBPJPY,8
2023-02-08,CADJPY,20
2023-02-08,GBPUSD,7
2023-02-08,USDCHF,24
2023-02-08,USDCAD,14
2023-02-08,EURCAD,2
2023-02-08,XAUUSD,36
2023-02-08,EURCHF,15
2023-02-08,EURGBP,7
2023-02-08,GBPNZD,1
2023-02-08,NZDJPY,5
2023-02-08,AUDUSD,14
2023-02-08,USDJPY,15
2023-02-08,GBPCAD,5
2023-02-08,EURSEK,3
2023-02-08,USDSEK,7
2023-02-08,USDNOK,15
2023-02-08,EURNOK,11
2023-02-08,AUDJPY,5
2023-02-08,CHFJPY,7
2023-02-08,NZDUSD,4
2023-02-08,XAGUSD,8
2023-02-08,GBPAUD,1
2023-02-09,EURJPY,21
2023-02-09,EURUSD,17
2023-02-09,GBPCHF,28
2023-02-09,EURAUD,18
2023-02-09,GBPJPY,8
2023-02-09,CADJPY,20
2023-02-09,GBPUSD,7
2023-02-09,USDCHF,24
2023-02-09,USDCAD,14
2023-02-09,EURCAD,2
2023-02-09,XAUUSD,36
2023-02-09,EURCHF,15
2023-02-09,EURGBP,7
2023-02-09,GBPNZD,1
2023-02-09,NZDJPY,5
2023-02-09,AUDUSD,14
2023-02-09,USDJPY,15
2023-02-09,GBPCAD,5
2023-02-09,EURSEK,3
2023-02-09,USDSEK,7
2023-02-09,USDNOK,15
2023-02-09,EURNOK,11
2023-02-09,AUDJPY,5
2023-02-09,CHFJPY,7
2023-02-09,NZDUSD,4
2023-02-09,XAGUSD,8
2023-02-09,GBPAUD,1
2023-02-10,GBPCHF,28
2023-02-10,EURJPY,21
2023-02-10,EURAUD,18
2023-02-10,GBPJPY,8
2023-02-10,CADJPY,19
2023-02-10,GBPUSD,10
2023-02-10,USDCHF,25
2023-02-10,USDCAD,14
2023-02-10,EURCAD,2
2023-02-10,XAUUSD,36
2023-02-10,EURCHF,15
2023-02-10,EURGBP,7
2023-02-10,GBPNZD,1
2023-02-10,NZDJPY,7
2023-02-10,AUDUSD,10
2023-02-10,USDJPY,15
2023-02-10,GBPCAD,5
2023-02-10,EURSEK,2
2023-02-10,USDSEK,6
2023-02-10,USDNOK,14
2023-02-10,EURUSD,18
2023-02-10,EURNOK,13
2023-02-10,AUDJPY,6
2023-02-10,CHFJPY,7
2023-02-10,NZDUSD,4
2023-02-10,XAGUSD,11
2023-02-10,GBPAUD,2
2023-02-13,GBPCHF,28
2023-02-13,EURJPY,21
2023-02-13,EURAUD,17
2023-02-13,GBPJPY,7
2023-02-13,CADJPY,19
2023-02-13,GBPUSD,10
2023-02-13,USDCHF,25
2023-02-13,USDCAD,13
2023-02-13,EURCAD,2
2023-02-13,XAUUSD,35
2023-02-13,EURCHF,15
2023-02-13,EURGBP,7
2023-02-13,GBPNZD,1
2023-02-13,NZDJPY,6
2023-02-13,AUDUSD,10
2023-02-13,USDJPY,15
2023-02-13,GBPCAD,5
2023-02-13,EURSEK,2
2023-02-13,USDSEK,5
2023-02-13,USDNOK,14
2023-02-13,EURUSD,18
2023-02-13,EURNOK,13
2023-02-13,AUDJPY,6
2023-02-13,CHFJPY,7
2023-02-13,NZDUSD,4
2023-02-13,XAGUSD,11
2023-02-13,GBPAUD,2
2023-02-14,GBPCHF,28
2023-02-14,EURJPY,21
2023-02-14,EURAUD,17
2023-02-14,GBPJPY,7
2023-02-14,CADJPY,19
2023-02-14,GBPUSD,10
2023-02-14,USDCHF,25
2023-02-14,USDCAD,13
2023-02-14,EURCAD,2
2023-02-14,XAUUSD,35
2023-02-14,EURCHF,15
2023-02-14,EURGBP,7
2023-02-14,GBPNZD,1
2023-02-14,NZDJPY,6
2023-02-14,AUDUSD,10
2023-02-14,USDJPY,15
2023-02-14,GBPCAD,5
2023-02-14,EURSEK,2
2023-02-14,USDSEK,5
2023-02-14,USDNOK,14
2023-02-14,EURUSD,18
2023-02-14,EURNOK,13
2023-02-14,AUDJPY,6
2023-02-14,CHFJPY,7
2023-02-14,NZDUSD,4
2023-02-14,XAGUSD,11
2023-02-14,GBPAUD,2
