date,delta,gamma,vega,theta
2020-11-23,-2959497.765285807,-335570.18807771284,-3260.977114759084,3912.055196926193
2020-11-24,-2934454.0450656586,-321760.58749732724,-3115.7085453606487,3659.188740170881
2020-11-25,-3147176.894251003,-323087.8704645567,-3066.605465397444,3598.5347700806224
2020-11-26,-3113736.1568804802,-313473.4395246574,-3014.926305138632,3471.8185395443315
2020-11-27,-2873518.516130955,-318563.3426976366,-3005.5942911199236,3497.3609328761936
2020-11-30,-2736433.5319037074,-358651.6448449665,-3106.2181265261515,4166.177873356471
2020-12-01,-2775863.6852791416,-307917.41938626824,-2943.2334740674437,3643.9220143767106
2020-12-02,-2812954.0757245715,-306086.51142261695,-2884.0024847605114,3827.8323699793295
2020-12-03,-2768618.1062705033,-307382.5088814979,-2854.4530005717056,3708.376626755581
2020-12-04,-2633166.0406405865,-307385.7234739938,-2813.0168138554072,3557.0625404682196
2020-12-07,-2827688.524772773,-321100.906417555,-3103.505765440767,4212.581317119482
2020-12-08,-2835645.3546255473,-312056.9185231131,-3029.989396836276,3645.8382050935434
2020-12-09,-2852362.4762500497,-292598.84005204675,-2945.2829139196924,4061.75018139892
2020-12-10,-2793788.665504448,-294266.4661889528,-2938.3192203524864,3994.301406009811
2020-12-11,-2751366.502496718,-304837.91357121425,-2940.0833868166387,3965.0670546112565
2020-12-14,-2956950.759202356,-336243.2948718733,-3286.5932216406236,4588.567728044996
2020-12-15,-2978908.2983299647,-329799.39009739604,-3220.2441972901897,4401.232460848065
2020-12-16,-3004650.197271028,-315547.8853018267,-3085.264624946866,4185.067863149465
2020-12-17,-2986350.014251084,-312663.49938101246,-3010.5115001690997,3621.697750256503
2020-12-18,-2857927.9955251473,-306477.8101713319,-2894.4242124426733,3381.100210696513
2020-12-21,-2839042.122653825,-397242.9786272542,-3140.4459583897747,3897.184021168582
2020-12-22,-2832262.5166695984,-376352.32520269486,-3063.8293804378827,3722.1612175538985
2020-12-23,-2817838.9903403297,-375934.7909078926,-3120.641826604798,3867.025800537179
2020-12-24,-2831640.312474787,-361259.9835973728,-3019.45486964566,3682.0805615672807
2020-12-25,-2821194.1198002975,-344504.481736272,-3037.517488753811,3622.791930872961
2020-12-28,-2692070.442417715,-388822.9589188231,-3149.3814451750595,3950.8956239406702
2020-12-29,-2628968.72583546,-365693.85461190564,-3116.8037140726283,3742.3854472585053
2020-12-30,-2631958.8494314314,-345958.066056327,-3021.662463663323,3597.834894139048
2020-12-31,-2632962.2694043405,-316963.5244720395,-2957.853787663663,3498.9006966953507
2021-01-01,-2632743.7334747724,-300482.5318322135,-2906.8141465662984,3381.161045846963
2021-01-04,-2770893.52658845,-331478.08115424047,-3293.538913982412,4339.678640106213
2021-01-05,-2768313.489395884,-336834.66813322296,-3070.9812712360563,3529.870447220676
2021-01-06,-2736047.3179657026,-321029.37894826883,-3088.2894297341013,3651.9172719340777
2021-01-07,-2730430.920282374,-313709.08233598364,-3028.269079843024,3590.719697988322
2021-01-08,-2675708.4044738207,-301224.971714309,-2994.206187149164,3427.9979124521315
2021-01-11,-2853524.810319851,-420924.48607700825,-2988.1066083006945,3836.0160653518783
2021-01-12,-2790870.1634752546,-401472.93882205937,-2903.543717150386,3639.8384718225684
2021-01-13,-2794682.098606024,-368892.3874657121,-2790.0605633724335,3465.384743844603
2021-01-14,-2814853.666082062,-347500.14186503494,-2642.1740362564356,3146.828597952412
2021-01-15,-2831858.6309692254,-306706.37591962895,-2554.89878619287,2885.783555250728
2021-01-18,-2982788.3384929015,-413785.0276629985,-2705.5724454513215,4017.9468922151664
2021-01-19,-2916059.7502056817,-389280.9935625242,-2606.319447463323,3722.758188948575
2021-01-20,-2911252.748658683,-387695.70393857115,-2551.032437055919,3649.064921987032
2021-01-21,-2887178.586838093,-375663.6876852173,-2559.011299992193,3730.1197345053683
2021-01-22,-2918256.7910796977,-349516.2636428957,-2458.2040914521376,3559.851941186928
2021-01-25,-2845093.7716006776,-285778.5915793355,-2251.282611623143,2803.895290201269
2021-01-26,-2787095.0037476416,-273239.93963666493,-2179.8375739652324,2712.785097490954
2021-01-27,-2705431.1720816055,-420444.59310168965,-2423.946357904316,3339.9349986567913
2021-01-28,-2743145.6641377215,-319585.629407246,-2169.505568597409,2523.2580824182237
2021-01-29,-2784663.9579365067,-317067.0738497591,-2159.57239620808,2521.3895066395557
2021-02-01,-2783679.4063800997,-238513.5473836995,-2049.785310276339,2142.7843512952027
2021-02-02,-2607450.932129983,-239742.1547532785,-2041.030902702045,2065.320851978155
2021-02-03,-2630186.104069943,-392478.10637789377,-2306.9168277186795,2954.0235763950136
2021-02-04,-2612203.3660024204,-362541.4554236687,-2228.516093910101,2647.5443940172713
2021-02-05,-2533307.066519852,-333104.51959873305,-2186.7120539670177,2443.9306309023623
2021-02-08,-2585681.5495008673,-245503.70255015057,-2003.9942302241427,2012.4073340261039
2021-02-09,-2490418.9705381547,-239048.61986674165,-1969.4732765273388,2001.3826756913193
2021-02-10,-2582984.1517805336,-299081.542826645,-2245.306305465009,3048.632661535962
2021-02-11,-2586305.42219596,-292918.58277984883,-2178.737172220697,2848.7343575435475
2021-02-12,-2527823.5785849923,-287501.0604968837,-2137.917109060828,2963.581441627588
2021-02-15,-2489360.0442284616,-264841.53569848597,-1985.431742562792,2454.853452162846
